PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;36;10;28079036_10_47;2023;10;29;9;V;8;V;11;V;14;V;13;V;12;V;10;V;11;V;13;V;13;V;14;V;16;V;16;V;12;V;12;V;11;V;14;V;11;V;8;V;13;V;0;N;0;N;0;N;0;N
28;079;36;12;28079036_12_8;2023;10;29;13;V;15;V;9;V;5;V;5;V;7;V;8;V;9;V;9;V;14;V;15;V;12;V;13;V;13;V;16;V;16;V;12;V;21;V;20;V;23;V;0;N;0;N;0;N;0;N
28;079;38;7;28079038_7_8;2023;10;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;5;V;3;V;4;V;2;V;2;V;4;V;2;V;3;V;0;N;0;N;0;N;0;N
28;079;38;8;28079038_8_8;2023;10;29;12;V;10;V;10;V;6;V;4;V;5;V;9;V;8;V;11;V;15;V;15;V;15;V;18;V;13;V;18;V;16;V;14;V;26;V;21;V;25;V;0;N;0;N;0;N;0;N
28;079;38;9;28079038_9_47;2023;10;29;6;V;6;V;5;V;5;V;5;V;3;V;5;V;4;V;5;V;3;V;5;V;6;V;3;V;5;V;3;V;4;V;3;V;4;V;4;V;3;V;0;N;0;N;0;N;0;N
28;079;38;10;28079038_10_47;2023;10;29;9;V;8;V;9;V;10;V;9;V;7;V;9;V;9;V;11;V;8;V;11;V;13;V;10;V;12;V;8;V;10;V;8;V;9;V;8;V;7;V;0;N;0;N;0;N;0;N
28;079;38;12;28079038_12_8;2023;10;29;13;V;12;V;11;V;7;V;6;V;7;V;10;V;10;V;13;V;18;V;19;V;20;V;26;V;17;V;24;V;20;V;17;V;31;V;25;V;29;V;0;N;0;N;0;N;0;N
28;079;38;20;28079038_20_59;2023;10;29;0.5;V;0.3;V;0.4;V;0.3;V;0.3;V;0.2;V;0.2;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.6;V;0.8;V;0.6;V;0.7;V;0.3;V;0.5;V;0.7;V;0.6;V;0;N;0;N;0;N;0;N
28;079;38;30;28079038_30_59;2023;10;29;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.3;V;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0;N;0;N;0;N;0;N
28;079;38;35;28079038_35_59;2023;10;29;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0;N;0;N;0;N;0;N
28;079;39;7;28079039_7_8;2023;10;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;3;V;3;V;2;V;3;V;0;N;0;N;0;N;0;N
28;079;39;8;28079039_8_8;2023;10;29;7;V;6;V;6;V;2;V;1;V;3;V;6;V;8;V;13;V;18;V;18;V;15;V;18;V;13;V;17;V;18;V;15;V;25;V;31;V;30;V;0;N;0;N;0;N;0;N
28;079;39;12;28079039_12_8;2023;10;29;9;V;8;V;8;V;4;V;3;V;5;V;7;V;10;V;15;V;23;V;23;V;20;V;23;V;18;V;21;V;22;V;19;V;29;V;35;V;34;V;0;N;0;N;0;N;0;N
28;079;39;14;28079039_14_6;2023;10;29;63;V;60;V;59;V;67;V;70;V;65;V;63;V;63;V;61;V;54;V;56;V;61;V;61;V;66;V;62;V;59;V;64;V;49;V;41;V;45;V;0;N;0;N;0;N;0;N
28;079;40;7;28079040_7_8;2023;10;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;3;V;2;V;0;N;0;N;0;N;0;N
28;079;40;8;28079040_8_8;2023;10;29;12;V;13;V;13;V;6;V;6;V;8;V;12;V;12;V;13;V;15;V;17;V;13;V;13;V;11;V;15;V;16;V;13;V;22;V;27;V;28;V;0;N;0;N;0;N;0;N
28;079;40;10;28079040_10_47;2023;10;29;2;V;1;V;6;V;5;V;4;V;7;V;5;V;5;V;5;V;8;V;11;V;9;V;11;V;12;V;7;V;7;V;11;V;7;V;7;V;9;V;0;N;0;N;0;N;0;N
28;079;40;12;28079040_12_8;2023;10;29;13;V;14;V;14;V;8;V;8;V;9;V;14;V;14;V;15;V;17;V;19;V;15;V;15;V;13;V;16;V;18;V;16;V;23;V;31;V;31;V;0;N;0;N;0;N;0;N
28;079;47;7;28079047_7_8;2023;10;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N
